tau,w_in,w_re,prob_neu_e,acc,acc_train,num_spikes,std_spikes
80.0,2.0,0.5,0.65,0.7633333333333333,0.84875,290.31333333333333,46.37300028632562
80.0,2.0,0.5,0.65,0.7316666666666667,0.8045833333333333,169.54833333333335,37.90616920619768
80.0,2.0,0.5,0.65,0.7133333333333334,0.82375,210.045,39.56593199963827
80.0,2.0,0.5,0.65,0.7483333333333333,0.82625,188.93,39.799938442163445
80.0,2.0,0.5,0.65,0.7616666666666667,0.8170833333333334,190.97666666666663,39.146938435705145
80.0,2.0,0.5,0.72,0.6966666666666667,0.8025,188.86166666666668,34.744148628062376
80.0,2.0,0.5,0.72,0.7133333333333334,0.8054166666666667,189.28166666666667,37.16896999589248
80.0,2.0,0.5,0.72,0.7383333333333333,0.8416666666666667,231.44333333333333,39.21496468894949
80.0,2.0,0.5,0.72,0.745,0.8183333333333334,166.42166666666665,35.21823198130322
80.0,2.0,0.5,0.72,0.725,0.81875,193.0133333333333,38.90081175959643
80.0,2.0,0.5,0.78,0.76,0.8445833333333334,293.79,47.83481193998084
80.0,2.0,0.5,0.78,0.74,0.8179166666666666,171.33166666666668,38.62725717964223
80.0,2.0,0.5,0.78,0.7183333333333334,0.8304166666666667,214.28,40.97253063537407
80.0,2.0,0.5,0.78,0.7383333333333333,0.8254166666666667,190.47333333333333,40.629373063776846
80.0,2.0,0.5,0.78,0.765,0.8245833333333333,193.9983333333333,40.28558464954376
80.0,2.0,0.5,0.85,0.6933333333333334,0.8016666666666666,190.84,35.70449644886014
80.0,2.0,0.5,0.85,0.7066666666666667,0.8070833333333334,192.1233333333333,38.27529388812348
80.0,2.0,0.5,0.85,0.74,0.8425,236.4833333333333,41.29850347033036
80.0,2.0,0.5,0.85,0.74,0.825,168.55,36.34176889842687
80.0,2.0,0.5,0.85,0.7116666666666667,0.8195833333333333,194.99166666666667,39.82492850659691
80.0,2.0,1.3,0.65,0.79,0.8620833333333333,241.44333333333333,52.19032594477852
80.0,2.0,1.3,0.65,0.7766666666666666,0.84625,196.09833333333333,37.894485050231545
80.0,2.0,1.3,0.65,0.74,0.8420833333333333,199.82666666666665,41.95938459457616
80.0,2.0,1.3,0.65,0.7983333333333333,0.8825,229.985,47.58583236286475
80.0,2.0,1.3,0.65,0.7916666666666666,0.88,245.0283333333333,51.90617365871703
80.0,2.0,1.3,0.72,0.78,0.87875,280.28,56.2304034012443
80.0,2.0,1.3,0.72,0.7666666666666667,0.8729166666666667,242.78333333333333,51.35931972117837
80.0,2.0,1.3,0.72,0.7716666666666666,0.8695833333333334,259.53333333333336,50.46248331406434
80.0,2.0,1.3,0.72,0.765,0.8545833333333334,255.38166666666663,54.8487556579201
80.0,2.0,1.3,0.72,0.8016666666666666,0.8704166666666666,284.99666666666667,58.4422220849124
80.0,2.0,1.3,0.78,0.7516666666666667,0.8433333333333334,169.59333333333333,41.91095269205361
80.0,2.0,1.3,0.78,0.805,0.8795833333333334,263.89166666666665,55.88565645335324
80.0,2.0,1.3,0.78,0.7916666666666666,0.8858333333333334,237.17333333333332,57.29645092751286
80.0,2.0,1.3,0.78,0.7933333333333333,0.8825,312.71,59.82699418601384
80.0,2.0,1.3,0.78,0.79,0.8958333333333334,287.49,60.24632685898785
80.0,2.0,1.3,0.85,0.7883333333333333,0.89375,256.14,59.10344378009344
80.0,2.0,1.3,0.85,0.7683333333333333,0.8745833333333334,239.13,59.53822105728946
80.0,2.0,1.3,0.85,0.78,0.90625,233.07833333333332,55.55599755101954
80.0,2.0,1.3,0.85,0.765,0.8825,223.53333333333333,52.29963883452946
80.0,2.0,1.3,0.85,0.7766666666666666,0.9125,301.5433333333333,70.74212410029983
80.0,2.0,2.1,0.65,0.75,0.87875,254.7333333333333,58.90149026599883
80.0,2.0,2.1,0.65,0.765,0.89,216.925,46.08281720627187
80.0,2.0,2.1,0.65,0.785,0.8975,294.63166666666666,59.0284055679034
80.0,2.0,2.1,0.65,0.795,0.915,219.395,58.46114642791969
80.0,2.0,2.1,0.65,0.7683333333333333,0.8920833333333333,239.945,58.47602336285645
80.0,2.0,2.1,0.72,0.7616666666666667,0.9116666666666666,279.93333333333334,72.23096442816075
80.0,2.0,2.1,0.72,0.785,0.9116666666666666,235.855,55.540111406082
80.0,2.0,2.1,0.72,0.7683333333333333,0.915,318.00333333333333,70.53618448868795
80.0,2.0,2.1,0.72,0.7983333333333333,0.8883333333333333,231.76,65.43250262675271
80.0,2.0,2.1,0.72,0.7766666666666666,0.8975,250.75,62.37029875402768
80.0,2.0,2.1,0.78,0.7416666666666667,0.8808333333333334,304.455,104.6860925577032
80.0,2.0,2.1,0.78,0.7666666666666667,0.8654166666666666,250.23833333333332,62.70277663088153
