n_neu,c_ie,L,pneu_e,tau,acc,acc_train,mean,mean_train,num_spikes,std_spikes
125.0,0.05,2.0,0.7,10.0,0.162,0.175,0.017,0.003,28.0,1.0
125.0,0.05,2.0,0.7,10.0,0.369,0.399,0.024,0.008,91.0,6.0
125.0,0.05,2.0,0.7,10.0,0.233,0.25,0.016,0.004,30.0,3.0
125.0,0.05,2.0,0.7,10.0,0.217,0.231,0.022,0.007,48.0,3.0
125.0,0.05,2.0,0.7,10.0,0.204,0.215,0.017,0.006,37.0,2.0
125.0,0.05,2.0,0.7,20.0,0.561,0.611,0.008,0.005,75.0,12.0
125.0,0.05,2.0,0.7,20.0,0.539,0.587,0.017,0.005,137.0,21.0
125.0,0.05,2.0,0.7,20.0,0.571,0.615,0.031,0.004,73.0,14.0
125.0,0.05,2.0,0.7,20.0,0.4,0.449,0.02,0.005,37.0,10.0
125.0,0.05,2.0,0.7,20.0,0.551,0.591,0.026,0.007,52.0,14.0
125.0,0.05,2.0,0.7,30.0,0.571,0.622,0.023,0.006,124.0,27.0
125.0,0.05,2.0,0.7,30.0,0.538,0.588,0.01,0.005,113.0,24.0
125.0,0.05,2.0,0.7,30.0,0.601,0.653,0.017,0.006,101.0,18.0
125.0,0.05,2.0,0.7,30.0,0.594,0.635,0.012,0.006,94.0,22.0
125.0,0.05,2.0,0.7,30.0,0.632,0.673,0.013,0.003,105.0,20.0
125.0,0.05,2.0,0.7,80.0,0.652,0.693,0.017,0.006,156.0,17.0
125.0,0.05,2.0,0.7,80.0,0.742,0.796,0.017,0.004,216.0,31.0
125.0,0.05,2.0,0.7,80.0,0.68,0.736,0.011,0.002,217.0,26.0
125.0,0.05,2.0,0.7,80.0,0.729,0.775,0.02,0.005,230.0,32.0
125.0,0.05,2.0,0.7,80.0,0.639,0.7,0.017,0.003,301.0,32.0
125.0,0.05,2.0,0.7,120.0,0.685,0.743,0.011,0.003,237.0,28.0
125.0,0.05,2.0,0.7,120.0,0.738,0.797,0.015,0.006,250.0,37.0
125.0,0.05,2.0,0.7,120.0,0.748,0.808,0.017,0.004,249.0,24.0
125.0,0.05,2.0,0.7,120.0,0.635,0.698,0.025,0.012,197.0,30.0
125.0,0.05,2.0,0.7,120.0,0.685,0.741,0.032,0.006,253.0,26.0
125.0,0.05,2.0,0.7,200.0,0.7,0.757,0.017,0.006,219.0,21.0
125.0,0.05,2.0,0.7,200.0,0.685,0.743,0.005,0.006,235.0,32.0
125.0,0.05,2.0,0.7,200.0,0.7,0.755,0.015,0.002,274.0,28.0
125.0,0.05,2.0,0.7,200.0,0.737,0.807,0.021,0.002,271.0,32.0
125.0,0.05,2.0,0.7,200.0,0.754,0.822,0.011,0.01,317.0,44.0
125.0,0.05,2.0,0.75,10.0,0.215,0.233,0.012,0.006,57.0,7.0
125.0,0.05,2.0,0.75,10.0,0.19,0.197,0.013,0.005,27.0,2.0
125.0,0.05,2.0,0.75,10.0,0.11,0.121,0.011,0.003,21.0,1.0
125.0,0.05,2.0,0.75,10.0,0.163,0.171,0.021,0.004,11.0,2.0
125.0,0.05,2.0,0.75,10.0,0.281,0.295,0.01,0.004,60.0,3.0
125.0,0.05,2.0,0.75,20.0,0.626,0.667,0.015,0.008,86.0,16.0
125.0,0.05,2.0,0.75,20.0,0.482,0.522,0.013,0.004,60.0,10.0
125.0,0.05,2.0,0.75,20.0,0.467,0.517,0.008,0.006,57.0,14.0
125.0,0.05,2.0,0.75,20.0,0.541,0.592,0.023,0.011,103.0,13.0
125.0,0.05,2.0,0.75,20.0,0.586,0.62,0.016,0.005,60.0,18.0
125.0,0.05,2.0,0.75,30.0,0.576,0.615,0.027,0.008,77.0,16.0
125.0,0.05,2.0,0.75,30.0,0.635,0.689,0.016,0.007,152.0,30.0
125.0,0.05,2.0,0.75,30.0,0.639,0.686,0.04,0.009,123.0,20.0
125.0,0.05,2.0,0.75,30.0,0.626,0.678,0.019,0.008,120.0,22.0
125.0,0.05,2.0,0.75,30.0,0.638,0.689,0.018,0.005,115.0,30.0
125.0,0.05,2.0,0.75,80.0,0.724,0.772,0.01,0.005,200.0,24.0
